Setup Name:,WGFMU 8 pulses 5V 2uS 1uS up/down 6uS 0.1V rest with probes connected to different pads: no circuit,,,,,,,,,
Date:,3-Sep-26,,,,,,,,,
D131 SA10 D29,,,,,,,,,,
Time,Voltage,Current,,,,,,,,Average over 8 cycles
0.000100005,0.103601001,-3.01313E-09,-6.54634E-09,-1.78526E-08,1.11197E-08,6.17322E-09,-1.59985E-09,5.46657E-09,-4.42642E-09,-1.33486E-09
0.000100105,0.568280339,-7.72106E-08,-6.30777E-08,-6.73176E-08,-5.81312E-08,-8.07438E-08,-7.72106E-08,-4.96515E-08,-5.88379E-08,-6.65226E-08
0.000100205,1.055421591,-1.96633E-07,-1.8038E-07,-2.00873E-07,-1.74021E-07,-1.59181E-07,-1.67661E-07,-1.74021E-07,-1.79674E-07,-1.79055E-07
0.000100305,1.544668555,-2.38325E-07,-2.70124E-07,-2.43978E-07,-2.41151E-07,-2.63764E-07,-2.50338E-07,-2.54578E-07,-2.7507E-07,-2.54666E-07
0.000100405,2.034266472,-2.99803E-07,-2.8779E-07,-2.89203E-07,-3.07576E-07,-3.13229E-07,-3.04749E-07,-3.00509E-07,-2.99096E-07,-3.00244E-07
0.000100505,2.525268316,-3.23829E-07,-3.28775E-07,-3.42201E-07,-3.44321E-07,-3.11109E-07,-3.25949E-07,-3.39375E-07,-3.35842E-07,-3.31425E-07
0.000100605,3.011707783,-3.64107E-07,-3.55628E-07,-3.79653E-07,-3.43615E-07,-3.34428E-07,-3.43615E-07,-3.66227E-07,-3.70467E-07,-3.57217E-07
0.000100705,3.504113436,-3.72587E-07,-3.6976E-07,-3.57747E-07,-3.77533E-07,-3.6976E-07,-3.61987E-07,-3.44321E-07,-3.59161E-07,-3.64107E-07
0.000100805,3.993360519,-3.85306E-07,-3.7188E-07,-3.7612E-07,-3.72587E-07,-3.70467E-07,-3.42201E-07,-4.02266E-07,-3.68347E-07,-3.73647E-07
0.000100905,4.483660221,-3.93786E-07,-3.79653E-07,-3.70467E-07,-3.846E-07,-3.79653E-07,-3.74E-07,-3.7824E-07,-3.9308E-07,-3.81685E-07
